Item name,Category,Size/Quantity,Price,ImageURL,Image URL
Orbit Gents Wallet,CHOCOLATE,PACKS,5,https://source.unsplash.com/200x200/?Orbit+Gents+Wallet,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ9vm01X4q8H4FYdv1QqBI1gY8YoIYvgqPGx2ZMCtS9VaSq0Vqc5CzTYtmypQ&s
V7 Pilot Pen,Other,,0,https://source.unsplash.com/200x200/?V7+Pilot+Pen,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS6BWj3T4JtDVppbvvAbEaP1--avy3pQNrY61Tywu66aO8PJWhzRNBZcjelhA&s
IMIS Note LS 320 Unruled,STATIONARY,NUMBERS,120,https://source.unsplash.com/200x200/?IMIS+Note+LS+320+Unruled,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSzmtuu0-wilchgRhDbnqepaPksafHfkN_DNpNexLH6ZcpqezarXGZ1c7b2f3Y&s
Godrej Selfie Hair Colour,SELF CARE,PACKS,15,https://source.unsplash.com/200x200/?Godrej+Selfie+Hair+Colour,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQCYvEKi6UqMo48OgwW3eqtb-0F6QjeYLh2LX1CqEnUDW1p1Lkgyoj-ktSf0Q&s
Reynolds Trimax Roller Pen,Other,,0,https://source.unsplash.com/200x200/?Reynolds+Trimax+Roller+Pen,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTfBG3oUXBZu_U8MkKlDwBH1I-T46fSr6geEtIEgex4cOgbZG7Bp2pQjDlcPw&s
yellow rose brush,TOILETRIES,NUMBERS,45,https://source.unsplash.com/200x200/?yellow+rose+brush,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTyPc_ZH-cgME8mFA-PdJKexG3srQ4m3eXVSBTbuRM_U_9Tz6Q6frQhcJErHg&s
50-50 62.8G 108 BAZOOKA PK,SNACKS,PACKS,10,https://source.unsplash.com/200x200/?50-50+62.8G+108+BAZOOKA+PK,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSoPOH0hHJ7HuHEpUW8q2zXeKdvMD2PdCMz0ocwdcDJotvUYWwfpsLL9CuMflQ&s
50-50 MASKA CHASKA 38G 96 PK,SNACKS,PACKS,10,https://source.unsplash.com/200x200/?50-50+MASKA+CHASKA+38G+96+PK,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS6H9yQo8Uz4IulgV2UjvWbPIQcHqAV7K0D9A4RdEYOBlFqvdsVCDJCLzmLmg&s
classic Rs.10,BISCUITS,PIECES,10,https://source.unsplash.com/200x200/?classic+Rs.10,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTxGSsIHhcT3uonf5Cv0pCurr7SOidSS7sEKqIT-Gs3Csrfnsz3ovQu3rp0Ucg&s
A2B BHUJIA 5rs,SNACKS,,5,https://source.unsplash.com/200x200/?A2B+BHUJIA+5rs,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRkpx3ColDjd0HhK4B36SvteOxFgCQ7r81wr0fb7fvZkT1bowDBn4aV5kRnf3U&s
A2B MIXTURE,SNACKS,PACKS,5,https://source.unsplash.com/200x200/?A2B+MIXTURE,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRIR6P-i2fSeFMrWS7N-PKR4n9j4UPNI9cZkkJJZOcSfhJoDEdmN8BLR3mJx8E&s
A2B PEANUT,SNACKS,,5,https://source.unsplash.com/200x200/?A2B+PEANUT,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ4i6KbqVrNYZKnux4KGV--ZFoY4BQvSCafTrHSu4NCP9T0Fx0KnvXnS9O_smU&s
A4 leaf,STATIONARY,PIECES,5,https://source.unsplash.com/200x200/?A4+leaf,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcToUB6htTCGYA1oJHupHo0zA0sD3jXWpXlhZETT_CWDWN5Xx0037OSLi_QEoQ&s
A4 sheets,STATIONARY,NUMBERS,1,https://source.unsplash.com/200x200/?A4+sheets,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSCzN5EhqyHo4uD4fP5cVjQ5beNUjfPSqhcF7QdHEEKKwrEXG71EFIU9AjwHyI&s
A4 Spiral 180 Pg R/UR 125/-,Other,,0,https://source.unsplash.com/200x200/?A4+Spiral+180+Pg+R/UR+125/-,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSINkWlv3xRiqFZvbAlZNT6pF0Jzkr4dYiOklRRbNKMy3jzjkCkrOBPRb5MlW4&s
A4 Spiral 300 Pg- 5Sub-R/UR Rs.185,Other,NUMBERS,185,https://source.unsplash.com/200x200/?A4+Spiral+300+Pg-+5Sub-R/UR+Rs.185,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQysbHQoQg8RUUMN_7yc389gkaLnJv2QbuOzI2Q0iGJkp1KZeL49f0sV7ur7YY&s
